Species,Common name,Maximum longevity (yrs)
papa,King vulture,40
gryphus,Andean condor,79
cristatus,Eastern osprey,21
haliaetus,Osprey,32
galericulata,Mandarin duck,10.4
sponsa,Wood duck,22.5
aegyptiaca,Egyptian goose,25.5
acuta,Northern pintail,27.4
americana,American wigeon,21.3
bahamensis,White-cheeked pintail,unknown
castanea,Chestnut teal,unknown
clypeata,Northern shoveler,22.6
crecca,Green-winged teal,27.1
cyanoptera,Cinnamon teal,12.9
discors,Blue-winged teal,23.2
fulvigula,Mottled duck,20
gracilis,Grey teal,31.7
laysanensis,Laysan duck,12
penelope,Eurasian wigeon,35.2
platyrhynchos,Mallard,29.1
querquedula,Garganey,14.7
rhynchotis,Australasian shoveler,unknown
rubripes,American black duck,26.6
strepera,Gadwall,28
superciliosa,Pacific black duck,27.2
albifrons,Greater white-fronted goose,47
anser,Greylag goose,31
brachyrhynchus,Pink-footed goose,40.9
erythropus,Lesser white-fronted goose,14.8
fabalis,Bean goose,25.6
affinis,Lesser scaup,18.3
americana,Redhead,22.6
australis,Hardhead,unknown
collaris,Ring-necked duck,20.4
ferina,Common pochard,23.2
fuligula,Tufted duck,45.2
marila,Greater scaup,22.1
valisineria,Canvasback,29.5
lobata,Musk duck,6.2
bernicla,Brent goose,28.8
canadensis,Canada goose,42
hutchinsii,Cackling goose,18.3
leucopsis,Barnacle goose,28.2
sandvicensis,Hawaiian goose,42
albeola,Bufflehead,18.7
clangula,Common goldeneye,20.9
islandica,Barrow's goldeneye,18
leucophrys,Ringed teal,unknown
novaehollandiae,Cape barren goose,29.1
caerulescens,Snow goose,27.5
canagica,Emperor goose,12
rossii,Ross's goose,22.5
jubata,Maned duck,9.1
hyemalis,Oldsquaw,22.7
atratus,Black swan,24.7
buccinator,Trumpeter swan,32.5
columbianus,Tundra swan,24.1
cygnus,Whooper swan,26.7
olor,Mute swan,40
autumnalis,Black-bellied whistling duck,8.2
bicolor,Fulvous whistling duck,11.2
eytoni,Plumed whistling duck,unknown
viduata,White-faced whistling duck,12
histrionicus,Harlequin duck,14.6
cucullatus,Hooded merganser,15.7
membranaceus,Pink-eared duck,unknown
fusca,White-winged scoter,21.4
nigra,Black scoter,16.8
perspicillata,Surf scoter,9.5
albellus,Smew,10
merganser,Common merganser,14.8
serrator,Red-breasted merganser,21.3
rufina,Red-crested pochard,12.9
australis,Blue-billed duck,16
jamaicensis,Ruddy duck,20
gambensis,Spur-winged goose,11.3
stelleri,Steller's eider,23
fischeri,Spectacled eider,18
mollissima,Common eider,37.8
spectabilis,King eider,18.9
tadorna,Common shelduck,24.8
tadornoides,Australian shelduck,13.1
semipalmata,Magpie goose,24.8
cristatus,Australian owlet-nightjar,5.9
terraereginae,Australian swiftlet,9.3
saxatalis,White-throated swift,10
apus,Common swift,21.1
melba,Alpine swift,26
pelagica,Chimney swift,15
vauxi,Vaux's swift,unknown
niger,Black swift,16.1
violiceps,Violet-crowned hummingbird,6.1
yucatanensis,Buff-bellied hummingbird,11.2
alexandri,Black-chinned hummingbird,11.2
colubris,Ruby-throated hummingbird,9.1
lucifer,Lucifer hummingbird,4.1
anna,Anna's hummingbird,8.5
costae,Costa's hummingbird,6
latirostris,Broad-billed hummingbird,8.8
fulgens,Magnificent hummingbird,11
clemenciae,Blue-throated hummingbird,12
rhami,Garnet-throated hummingbird,8
platycercus,Broad-tailed hummingbird,14
rufus,Rufous hummingbird,8.9
sasin,Allen's hummingbird,unknown
calliope,Calliope hummingbird,7
australis,Brown kiwi,35
bicornis,Great hornbill,33.4
subcylindricus,Grey-cheeked hornbill,31.8
atrata,Black-casqued hornbill,19.3
leadbeateri,Southern ground hornbill,70
