Species,Common name,Maximum longevity (yrs)
wallicus,Ground parrot,7.4
solitarius,Collared lory,unknown
leucogaster,White-bellied parrot,26
melanocephalus,Black-headed parrot,22.6
pileata,Pileated parrot,16.8
maximiliani,Scaly-headed parrot,16.2
menstruus,Blue-headed parrot,20.6
adscitus,White-cheeked rosella,unknown
caledonicus,Green rosella,unknown
elegans,Crimson rosella,26.8
eximius,Eastern rosella,27.4
icterotis,Western rosella,13.2
venustus,Northern rosella,19.1
cryptoxanthus,Brown-headed parrot,32.1
gulielmi,Red-fronted parrot,21
meyeri,Brown parrot,34.2
robustus,"Cape parrot, or Brown-necked parrot",29.7
rueppellii,Ruppel's parrot,34.3
rufiventris,Red-bellied parrot,33.4
senegalus,Senegal parrot,40
alexandrae,Alexandra's parrot,23.9
anthopeplus,Regent parrot,13.8
swainsonii,Superb parrot,15.1
maracana,Blue-winged macaw,31
aterrimus,Palm cockatoo,56.3
personata,Masked shining parrot,11.8
splendens,Crimson shining parrot,20.1
tabuensis,Red shining parrot,unknown
dissimilis,Hooded parrot,18
haematonotus,Red-rumped parrot,12.2
varius,Mulga parrot,11.8
fuscata,Dusky lory,13.4
aymara,Grey-hooded parakeet,8.5
alexandri,Red-breasted parakeet,23.3
calthropae,Layard's parakeet,14
columboides,Malabar parakeet,unknown
cyanocephala,Plum-headed parakeet,18.8
eupatria,Alexandrine parakeet,30
krameri,Rose-ringed parakeet,34
desmarestii,Large fig parrot,14.9
edwardsii,Edward's fig parrot,12
salvadorii,Salvadori's fig parrot,12
erithacus,Grey parrot,49.7
goldiei,Goldie's lorikeet,unknown
iris,Iris lorikeet,24.1
cyanurus,Blue-rumped parrot,10.2
fulgidus,Pesquet's parrot,25
spurius,Red-capped parrot,15.3
leucotis,White-eared conure,18.5
perlata,Crimson-bellied parakeet,14.3
pachyrhyncha,Thick-billed parrot,33
habroptila,Kakapo,60
megalorynchos,Great-billed parrot,23
sumatranus,Blue-backed parrot,14.4
chlorolepidotus,Scaly-breasted lorikeet,33.8
euteles,Olive-headed lorikeet,16
haematodus,Rainbow lorikeet,20.6
johnstoniae,Mindanao lorikeet,17.8
ornatus,Ornate lorikeet,19.4
malachitacea,Blue-bellied parrot,11.9
australis,Blue-crowned lorikeet,13.6
peruviana,Blue lorikeet,18.4
americana,Greater rhea,unknown
forsteri,Emperor penguin,unknown
patagonicus,King penguin,27
schlegeli,Royal penguin,15.8
minor,Little penguin,42.2
papua,Gentoo penguin,41
demersus,Jackass penguin,27.3
humboldti,Humboldt penguin,unknown
magellanicus,Magellanic penguin,30
mendiculus,Galapagos penguin,17.7
acadicus,Northern saw-whet owl,17.5
funereus,Boreal owl,15.9
flammeus,Short-eared owl,21.8
otus,Long-eared owl,27.8
cunicularia,Burrowing owl,11
noctua,Little owl,11.1
bubo,Eurasian eagle-owl,68
scandiacus,Snowy owl,28
virginianus,Great horned owl,29
passerinum,Eurasian pygmy-owl,6
asio,Eastern screech-owl,20.7
kennicottii,Western screech-owl,19
whitneyi,Elf owl,14
connivens,Barking owl,unknown
novaeseelandiae,Morepork,15.9
strenua,Powerful owl,6.1
flammeolus,Flammulated owl,8.1
scops,"Common scops-owl, or Eurasian scops-owl",6.9
perspicillata,Spectacled owl,25
aluco,Tawny owl,22.4
nebulosa,Great grey owl,16.1
occidentalis,Spotted owl,25
uralensis,Ural owl,23.8
varia,Barred owl,34
ulula,Northern hawk-owl,16.2
alba,Barn owl,34
javanica,Eastern barn owl,unknown
tenebricosa,Greater sooty owl,unknown
camelus,Ostrich,50
anhinga,Anhinga,16.4
melanogaster,Darter,16
novaehollandiae,Australasian darter,22.3
andrewsi,Christmas Island frigatebird,25.6
ariel,Lesser frigatebird,27.6
magnificens,Magnificent frigatebird,34
minor,Great frigatebird,43
melanoleucos,Little pied cormorant,13.1
aristotelis,European shag,30.6
auritus,Double-crested cormorant,22.5
brasilianus,Neotropic cormorant,12.6
carbo,Great cormorant,32.1
fuscescens,Black-faced cormorant,41.6
pelagicus,Pelagic cormorant,17.8
penicillatus,Brandt's cormorant,18
sulcirostris,Little black cormorant,unknown
varius,Australian pied cormorant,46.4
bassanus,Northern gannet,37.4
serrator,Australasian gannet,33
dactylatra,Masked booby,25.5
granti,Nazca booby,21
leucogaster,Brown booby,28.5
nebouxii,Blue-footed booby,18
sula,Red-footed booby,23
solitarius,Solitary tinamou,15
wagneri,Volga lamprey,4
tridentatus,Pacific lamprey,9
danfordi,Carpathian lamprey,8
mariae,Ukrainian brook lamprey,8
castaneus,Chestnut lamprey,8
greeleyi,Mountain brook lamprey,6
unicuspis,Silver lamprey,8
aepyptera,Least brook lamprey,8
fluviatilis,European river lamprey,10
planeri,European brook lamprey,7
appendix,American brook lamprey,5
camtschaticum,Arctic lamprey,7
kessleri,Siberian brook lamprey,7
reissneri,Far eastern brook lamprey,4
zanandreai,Po brook lamprey,6
marinus,Sea lamprey,9
acronotus,Blacknose shark,19
amblyrhynchos,Grey reef shark,25
brachyurus,Copper shark,34.5
brevipinna,Spinner shark,19
cautus,Nervous shark,16.4
falciformis,Silky shark,23
galapagensis,Galapagos shark,24
isodon,Finetooth shark,8
leucas,Bull shark,32
limbatus,Blacktip shark,12
longimanus,Oceanic whitetip shark,22
obscurus,Dusky shark,35
plumbeus,Sandbar shark,32
porosus,Smalltail shark,24
signatus,Night shark,31.7
sorrah,Spot-tail shark,8
tilstoni,Australian blacktip shark,12
cuvier,Tiger shark,50
brevirostris,Lemon shark,20
glauca,Blue shark,20
acutus,Milk shark,8
taylori,Australian sharpnose shark,7
terraenovae,Atlantic sharpnose shark,10.2
laticaudus,Spadenose shark,6
obesus,Whitetip reef shark,25
canicula,Small-spotted catshark,12
stellaris,Nursehound,19
lewini,Scalloped hammerhead,35
tiburo,Bonnethead shark,6.5
macki,Whiskery skark,11.5
galeus,Tope shark,55
japanica,Japanese topeshark,15
antarcticus,Gummy shark,16
californicus,Gray smoothhound,9
canis,Dusky smooth-hound,16
griseus,Spotless smooth-hound,9
henlei,Brown smoothhound,13
lenticulatus,Spotted estuary smooth-hound,19.5
manazo,Starspotted smooth-hound,10
mustelus,Smooth-hound,24
semifasciata,Leopard shark,30
capensis,Cape elephantfish,12
milii,Elephant fish,6
monstrosa,Rabbitfish,29.4
francisci,Horn shark,12
galeatus,Crested bullhead shark,12
cepedianus,Bluntnose sevengill shark,49
pelagicus,Pelagic thresher shark,29
superciliosus,Bigeye thresher,21
maximus,Basking shark,32
carcharias,Great white shark,50
oxyrinchus,Shortfin mako,25
ditropis,Salmon shark,20
nasus,Porbeagle,30
taurus,Sand tiger shark,12
americana,Southern stingray,18
chrysonota,Blue stingray,10
dipterura,Diamond stingray,28
pastinaca,Common stingray,21
violacea,Pelagic stingray,24
birostris,Giant manta,20
flagellum,Longheaded eagle ray,16
californica,Bat ray,24
bonasus,Cownose ray,15.5
mucosa,Western shovelnose stingaree,16
personata,Masked stingaree,14
lobatus,Lobed stingaree,14
paucimaculatus,Sparsely-spotted stingaree,12
cirratum,Nurse shark,25
plagiosum,Whitespotted bambooshark,25
typus,Whale shark,54
perotteti,Largetooth sawfish,30
albomaculata,White-dotted skate,17
parmifera,Alaska skate,17
trachura,Roughtail skate,17
radiata,Thorny skate,16
batis,"Blue skate, or Common skate",50
chilensis,Beaked skate,22.5
innominatus,New Zealand smooth skate,24
nasutus,New Zealand rough skate,9
pullopunctatus,Slime skate,18
trachyderma,Roughskin skate,26
erinacea,Little skate,8
naevus,Sandy ray,14
ocellata,Winter skate,21
senta,Smooth skate,14
asterias,Starry skate,6.3
binoculata,Big skate,26
brachyura,Blonde ray,8
clavata,Thornback ray,12
microocellata,Painted ray,9
miraletus,Brown ray,8.2
montagui,Homelyn ray,unknown
rhina,Longnose skate,26
texana,Roundel skate,9
undulata,Undulate ray,13
horkelii,Brazilian guitarfish,28
productus,Shovelnose guitarfish,16
acus,Needle dogfish,20
granulosus,Gulper shark,25
squamosus,Leafscale gulper shark,70
calcea,Birdbeak dogfish,35
licha,Kitefin shark,18.4
baxteri,"New Zealand lanternshark, or Giant lanternshark",57
spinax,Velvet belly,7
crepidater,Longnose velvet dogfish,57
microcephalus,Greenland shark,392
acanthias,Spur dogfish,75
blainville,Longnose spurdog,15
megalops,Shortnose spurdog,75
mitsukurii,Shortspine dogfish,27
argentina,Argentine angelfish,12
californica,Pacific angel shark,35
occulta,Hidden angel shark,21
californica,Pacific electric ray,16
marmorata,Marbled electric ray,20
torpedo,Eyed electric ray,10
brevirostrum,Shortnose sturgeon,67
dabryanus,Yangtze sturgeon,100
fulvescens,Lake sturgeon,152
gueldenstaedtii,Russian sturgeon,46
oxyrinchus,Atlantic sturgeon,60
ruthenus,Sterlet,46.1
schrenckii,Amur sturgeon,60
stellatus,Star sturgeon,27
sturio,European sturgeon,100
transmontanus,White sturgeon,104
dauricus,Kaluga,55
huso,Beluga sturgeon,118
hermanni,Little shovelnose sturgeon,6
spathula,Mississippi paddlefish,55
senegalus,Gray bichir,34
chalumnae,"West Indian ocean coelacanth, or Coelacanth",48
forsteri,Australian lungfish,85
paradoxa,South American lungfish,8.3
annectens,African lungfish,18
calva,Bowfin,30
oculatus,Spotted gar,18
osseus,Longnose gar,36
platostomus,Shortnose gar,20
telfairi,Lesser hedgehog tenrec,19
aurita,Large-eared tenrec,unknown
semispinosus,Streaked tenrec,2.7
dobsoni,Dobson's shrew tenrec,5.6
talazaci,Talazac's shrew tenrec,5.8
setosus,Greater hedgehog tenrec,14.1
ecaudatus,"Tailess tenrec, or Tenrec",8.7
americana,Pronghorn,17
nasomaculatus,Addax,28
melampus,Impala,25.6
buselaphus,Hartebeest,22.5
clarkei,Dibatag,unknown
lervia,Aoudad,21.7
marsupialis,Springbok,19.8
cervicapra,Blackbuck,23.9
hunteri,Hirola,unknown
bison,American bison,33.5
bonasus,European bison,26.4
frontalis,Gaur,26.2
grunniens,Yak,26.3
javanicus,Banteng,27.1
sauveli,Kouprey,unknown
taurus,Domestic cattle,20
tragocamelus,Nilgai,21.7
bubalis,Water buffalo,34.9
depressicornis,Anoa,36.1
mindorensis,Tamaraw,unknown
quarlesi,Mountain anoa,29.2
taxicolor,Takin,21.9
caucasica,West Caucasian tur,19.3
cylindricornis,East Caucasian tur,20.2
falconeri,Markhor,19.1
hircus,Domestic goat,20.8
ibex,Ibex,21
nubiana,Nubian ibex,22.4
pyrenaica,Spanish ibex,unknown
sibirica,Siberian ibex,22.3
crispus,Japanese serow,24
sumatraensis,Serow,18.5
dorsalis,Bay duiker,17.5
jentinki,Jentink's duiker,21
natalensis,Natal duiker,15.2
niger,Black duiker,14.8
nigrifrons,Black-fronted duiker,17.9
rufilatus,Red-flanked duiker,15.2
silvicultor,Yellow-backed duiker,22.5
weynsi,Weyns's duiker,15.2
zebra,Zebra duiker,unknown
gnou,Black wildebeest,21.8
taurinus,Blue wildebeest,24.3
lunatus,Topi,35
pygargus,"Bontebok, or Sassaby, or Blesbok",23
rufifrons,Red-fronted gazelle,14.5
thomsonii,Thomson's gazelle,20
bennettii,Indian gazelle,unknown
cuvieri,Cuvier's gazelle,17.9
dorcas,Dorcas gazelle,23.7
gazella,Mountain gazelle,18.3
leptoceros,Rhim gazelle,14.6
saudiya,Saudi gazelle,21
spekei,Speke's gazelle,unknown
subgutturosa,Goitered gazelle,16.3
hylocrius,Nilgiri tahr,17.3
jayakari,Arabian tahr,unknown
jemlahicus,Himalayan tahr,24
equinus,Roan antelope,25.9
niger,Sable antelope,22.2
ellipsiprymnus,Waterbuck,30
kob,Kob,21.9
leche,Lechwe,27
megaceros,Nile lechwe,21.1
walleri,Gerenuk,17.3
guentheri,Gunther's dik-dik,17.5
kirkii,Kirk's dik-dik,17.3
baileyi,Red goral,19
caudatus,Chinese goral,20.3
goral,Goral,17.6
dama,Dama gazelle,19.3
granti,Grant's gazelle,23
soemmerringii,Soemmerring's gazelle,15.5
moschatus,Suni,13.5
pygmaeus,Royal antelope,11.1
americanus,Mountain goat,20.8
oreotragus,Klipspringer,25.9
dammah,Scimitar-horned oryx,27.5
gazella,Gemsbok,23.8
leucoryx,Arabian oryx,20.8
ourebi,Oribi,15.9
moschatus,Muskox,27.4
ammon,Argali,16.8
aries,"Domestic sheep, or Mouflon",22.8
canadensis,Bighorn sheep,20.6
dalli,Dall's sheep,19.6
capreolus,Common rhebok,unknown
maxwellii,Maxwell's duiker,18.3
monticola,Blue duiker,15.9
gutturosa,Mongolian gazelle,12
nayaur,Bharal,20.9
campestris,Steenbok,9.3
melanotis,Cape grysbok,unknown
arundinum,Southern reedbuck,16.8
fulvorufula,Mountain reedbuck,15
redunca,Bohar reedbuck,unknown
pyrenaica,Pyrenean chamois,unknown
rupicapra,Chamois,17.6
tatarica,Saiga,unknown
grimmia,Bush duiker,15.4
caffer,African buffalo,32.8
derbianus,Giant eland,20.3
oryx,Eland,26.1
quadricornis,Four-horned antelope,17.4
angasii,Nyala,23
eurycerus,Bongo,22
imberbis,Lesser kudu,19.8
scriptus,Bushbuck,15.3
spekii,Sitatunga,22.6
strepsiceros,Greater kudu,23.5
bactrianus,Bactrian camel,35.4
dromedarius,Dromedary,28.4
glama,Llama,28.9
guanicoe,Guanaco,33.7
pacos,Alpaca,25.8
vicugna,Vicugna,31.6
alces,Moose,unknown
axis,Chital,20.8
calamianensis,Calamian deer,17.2
kuhlii,Bawean deer,17.8
porcinus,Hog deer,22.9
dichotomus,Marsh deer,unknown
capreolus,Western roe deer,17.5
pygargus,Eastern roe deer,unknown
elaphus,Red deer,31.5
nippon,Sika deer,26.3
dama,Fallow deer,27
cephalophus,Tufted deer,22.7
davidianus,Pere David's deer,27.5
antisensis,"Taruca, or Guemals",unknown
bisulcus,Chilean guemal,unknown
inermis,Chinese water deer,13.9
americana,Red brocket,17.1
gouazoubira,Gray brocket,14.8
crinifrons,Black muntjac,unknown
feae,Fea's muntjac,unknown
muntjak,Indian muntjac,18.8
reevesi,Reeves's muntjac,23.2
hemionus,Mule deer,22
virginianus,White-tailed deer,23
bezoarticus,Pampas deer,21.9
albirostre,Thorold's deer,21.3
puda,Southern pudu,18.3
tarandus,"Caribou, or Reindeer",21.8
duvaucelii,Barasingha,24.5
eldii,Eld's deer,20.5
alfredi,Visayan spotted deer,18.5
marianna,Philippine deer,unknown
timorensis,Timor deer,21.1
unicolor,Sambar,26.4
camelopardalis,Giraffe,39.5
johnstoni,Okapi,33.5
liberiensis,Pygmy hippopotamus,42.3
amphibius,Hippopotamus,61.2
berezovskii,Chinese forest musk deer,unknown
chrysogaster,Alpine musk deer,unknown
moschiferus,Siberian musk deer,unknown
babyrussa,Babirusa,22.9
meinertzhageni,Giant forest hog,unknown
africanus,Wart hog,30
larvatus,Bushpig,unknown
porcus,Red river hog,22
barbatus,Bearded pig,16.2
salvanius,Pygmy hog,14
scrofa,Wild boar,27
verrucosus,Javan pig,17
wagneri,Chacoan peccary,unknown
tajacu,Collared peccary,31.5
pecari,White-lipped peccary,28.5
aquaticus,Water chevrotain,unknown
meminna,Indian spotted chevrotain,14.5
javanicus,Lesser mouse-deer,14
napu,Greater mouse-deer,16.7
fulgens,Red panda,19
microtis,Short-eared dog,11.9
adustus,Side-striped jackal,13.7
aureus,Golden jackal,18.8
familiaris,Domestic dog,27
latrans,Coyote,21.8
lupus,Gray wolf,20.6
mesomelas,Black-backed jackal,16.7
thous,Crab-eating fox,12.7
brachyurus,Maned wolf,16.8
alpinus,Dhole,16.1
culpaeus,Culpeo,13.1
griseus,Argentinian gray fox,10.9
gymnocercus,Pampas fox,13.7
sechurae,Sechuran fox,9.9
vetulus,Hoary fox,12.6
pictus,African wild dog,17
procyonoides,Raccoon dog,16.6
megalotis,Bat-eared fox,17
venaticus,Bush dog,14.1
cinereoargenteus,Gray fox,16.2
littoralis,Island gray fox,unknown
bengalensis,Indian fox,unknown
cana,Blanford's fox,unknown
chama,Cape fox,unknown
corsac,Corsac fox,13
lagopus,Arctic fox,16.3
macrotis,Kit fox,15.8
pallida,Pale fox,16
rueppellii,Ruppell's sand fox,14.3
velox,Swift fox,15.9
vulpes,Red fox,21.3
zerda,Fennec,16.3
ferox,Fossa,23.1
fossana,Malagasy civet,21.4
elegans,Ring-tailed mongoose,26
decemlineata,Narrow-striped mongoose,unknown
jubatus,Cheetah,20.5
caracal,Caracal,20.3
temminckii,Asiatic golden cat,23
catus,Domestic cat,30
chaus,Jungle cat,20
manul,Pallas' cat,15.9
margarita,Sand cat,13.9
nigripes,Black-footed cat,15.6
silvestris,Wild cat,19
colocolo,Colocolo,19.6
geoffroyi,Geoffroy's cat,23
guigna,Kodkod,unknown
pardalis,Ocelot,28.2
tigrinus,Little spotted cat,21.9
wiedii,Margay,24
serval,Serval,22.4
canadensis,Canada lynx,26.8
lynx,Eurasian lynx,26
pardinus,Spanish lynx,unknown
rufus,Bobcat,32.3
nebulosa,Clouded leopard,19.8
leo,Lion,28
onca,Jaguar,28
pardus,Leopard,27.3
tigris,Tiger,26.3
marmorata,Marbled cat,unknown
bengalensis,Leopard cat,17
planiceps,Flat-headed cat,14
rubiginosus,Rusty-spotted cat,17.9
viverrinus,Fishing cat,17.2
aurata,African golden cat,21
concolor,Cougar,27
yagouaroundi,Jaguarundi,18.6
uncia,Snow leopard,21.2
paludinosus,Marsh mongoose,20.8
nigripes,Black-footed mongoose,15.8
obscurus,Long-nosed cusimanse,13.3
penicillata,Yellow mongoose,15.2
pulverulenta,Cape gray mongoose,11.7
sanguinea,Slender mongoose,12.6
parvula,Dwarf mongoose,20
brachyurus,Short-tailed mongoose,unknown
edwardsi,Indian gray mongoose,12.3
ichneumon,Egyptian mongoose,unknown
javanicus,Javan mongoose,16.6
naso,Long-nosed mongoose,unknown
smithii,Ruddy mongoose,17.8
urva,Crab-eating mongoose,13.3
vitticollis,Striped-necked mongoose,12.8
albicauda,White-tailed mongoose,14.8
mungo,Banded mongoose,17.4
suricatta,Meerkat,20.6
crocuta,Spotted hyena,41.1
brunnea,Brown hyena,31.9
hyaena,Striped hyena,25
cristata,Aardwolf,20
chinga,Molina's hog-nosed skunk,10
leuconotus,"American hog-nosed skunk, or Hog-nosed skunk",10.2
macroura,Hooded skunk,unknown
mephitis,Striped skunk,13.9
putorius,Eastern spotted skunk,10.5
capensis,African clawless otter,14.2
cinereus,Oriental small-clawed otter,23
collaris,Hog badger,15.8
barbara,Tayra,22.3
lutris,Sea otter,27
cuja,Lesser grison,10.2
vittata,Greater grison,12.5
gulo,Wolverine,19.5
maculicollis,Spotted-necked otter,22.9
libycus,Saharan striped polecat,unknown
striatus,Striped polecat,14
canadensis,Northern river otter,27
longicaudis,Neotropical river otter,unknown
lutra,European otter,18.2
perspicillata,Smooth-coated otter,unknown
americana,American marten,17.8
flavigula,Yellow-throated marten,16
foina,Beech marten,18.2
martes,European pine marten,18.2
melampus,Japanese marten,unknown
pennanti,Fisher,14.3
zibellina,Sable,18.4
meles,"European badger, or Old World badger",18.6
capensis,Honey badger,31.3
moschata,Chinese ferret-badger,19
personata,Burmese ferret-badger,unknown
erminea,Ermine,12.5
eversmanii,Steppe polecat,9.1
frenata,Long-tailed weasel,8.8
lutreola,European mink,8.4
nigripes,Black-footed ferret,9.4
nivalis,Least weasel,9.1
putorius,European polecat,11.1
sibirica,Siberian weasel,8.8
vison,American mink,11.4
albinucha,African striped weasel,unknown
brasiliensis,Giant otter,17.3
taxus,American badger,25
peregusna,Marbled polecat,8.8
binotata,African palm civet,21
rosmarus,Walrus,unknown
australis,South American fur seal,30.6
forsteri,New Zealand fur seal,unknown
galapagoensis,Galapagos fur seal,unknown
gazella,Antarctic fur seal,unknown
pusillus,South African fur seal,32.1
tropicalis,Subantarctic fur seal,unknown
ursinus,Northern fur seal,unknown
jubatus,Steller sea lion,32.8
cinerea,Australian sea lion,24.1
flavescens,Southern sea lion,29
hookeri,New Zealand sea lion,unknown
californianus,California sea lion,35.7
cristata,Hooded seal,unknown
barbatus,Bearded seal,unknown
grypus,Gray seal,42.9
fasciata,Ribbon seal,unknown
leptonyx,Leopard seal,unknown
weddellii,Weddell seal,unknown
carcinophaga,Crabeater seal,unknown
angustirostris,Northern elephant seal,unknown
leonina,Southern elephant seal,unknown
monachus,Mediterranean monk seal,unknown
schauinslandi,Hawaiian monk seal,unknown
rossii,Ross seal,unknown
groenlandicus,Harp seal,unknown
largha,Spotted seal,unknown
vitulina,Harbor seal,47.6
caspica,Caspian seal,unknown
hispida,Ringed seal,46
sibirica,Baikal seal,56
alleni,Allen's olingo,25.2
gabbii,Olingo,21.8
astutus,Ringtail,19
sumichrasti,Cacomistle,24
narica,White-nosed coati,26.4
nasua,South american coati,23.7
flavus,Kinkajou,38.4
cancrivorus,Crab-eating raccoon,19
lotor,Common raccoon,21
melanoleuca,Giant panda,36.8
malayanus,Sun bear,35.9
ursinus,Sloth bear,33.3
ornatus,Spectacled bear,39
americanus,American black bear,34
arctos,Brown bear,40
maritimus,Polar bear,43.8
thibetanus,Asiatic black bear,39.2
binturong,Binturong,27
trivirgata,Small-toothed palm civet,16.1
owstoni,Owston's palm civet,unknown
civetta,African civet,28
bennettii,Otter civet,unknown
abyssinica,Abyssinian genet,unknown
genetta,Small-spotted genet,22.7
maculata,Panther genet,20
pardina,Pardine genet,unknown
servalina,Servaline genet,unknown
tigrina,Large-spotted genet,21.3
derbyanus,Banded palm civet,16
larvata,Masked palm civet,27.4
hermaphroditus,Asian palm civet,24.5
linsang,Banded linsang,unknown
civettina,Malabar civet,15.4
tangalunga,Malayan civet,15
zibetha,Large indian civet,21.7
indica,Small Indian civet,unknown
mysticetus,Bowhead whale,211
australis,Southern right whale,70
glacialis,North atlantic right whale,67
acutorostrata,Common minke whale,50
borealis,Sei whale,74
edeni,Bryde's whale,72
musculus,Blue whale,110
physalus,Fin whale,114
novaeangliae,Humpback whale,95
commersonii,Commerson's dolphin,unknown
hectori,Hector's dolphin,unknown
delphis,Short-beaked saddleback dolphin,25
macrorhynchus,Short-finned pilot whale,63
melas,Long-finned pilot whale,60
griseus,Risso's dolphin,42.5
hosei,Fraser's dolphin,unknown
acutus,Atlantic white-sided dolphin,27
obliquidens,Pacific white-sided dolphin,46
brevirostris,Irrawaddy dolphin,30
orca,Killer whale,90
electra,Melon-headed whale,47
crassidens,False killer whale,62.5
fluviatilis,"Tucuxi, or River dolphin",unknown
chinensis,Indo-Pacific humpbacked dolphin,unknown
attenuata,Pantropical spotted dolphin,46
coeruleoalba,Striped dolphin,57.5
bredanensis,Rough-toothed dolphin,32
aduncus,Indo-pacific bottlenose dolphin,unknown
truncatus,Bottlenosed dolphin,51.6
robustus,Gray whale,77
bairdii,Baird's beaked whale,84
ampullatus,Northern bottlenose whale,37
densirostris,Blainville's beaked whale,unknown
europaeus,Gervais's beaked whale,48
cavirostris,Cuvier's beaked whale,62
geoffrensis,"Amazon river dolphin, or Amazon dolphin",31.3
breviceps,Pygmy sperm whale,17
vexillifer,"Yangzte river dolphin, or Baiji",24
leucas,Beluga,40
monoceros,Narwhal,50
phocaenoides,Finless porpoise,33
phocoena,Harbor porpoise,20.4
dalli,Dall's porpoise,22
macrocephalus,Sperm whale,77
gangetica,Ganges dolphin,unknown
blainvillei,Franciscana,unknown
bilineata,Greater sac-winged bat,6
georgianus,Sharp-nosed tomb bat,4
hilli,Hill's tomb bat,8.8
fulvus,Fulvus roundleaf bat,13
gigas,Australian false vampire bat,22.6
lyra,Greater false vampire bat,14
australis,Little long-fingered bat,unknown
schreibersii,Schreibers's long-fingered bat,22
molossus,Pallas's mastiff bat,5.6
planiceps,Southern free-tailed bat,unknown
brasiliensis,Brazilian free-tailed bat,12
teniotis,European free-tailed bat,13
tuberculata,New Zealand lesser short-tailed bat,7.6
leporinus,Greater bulldog bat,11.8
geoffroyi,Geoffroy's tailless bat,10
jamaicensis,Jamaican fruit-eating bat,19.2
lituratus,Great fruit-eating bat,unknown
perspicillata,Seba's short-tailed bat,17
rotundus,Vampire bat,29.2
ecaudata,Hairy-legged vampire bat,8
soricina,Pallas's long-tongued bat,11
curasoae,Southern long-nosed bat,10.1
californicus,California leaf-nosed bat,17
waterhousii,Waterhouse's leaf-nosed bat,10.4
discolor,Pale spear-nosed bat,9
hastatus,Greater spear-nosed bat,18
lineatus,White-lined broad-nosed bat,13
lilium,Little yellow-shouldered bat,12
brachyotis,Lesser short-nosed fruit bat,10.1
sphinx,Greater short-nosed fruit bat,10
moluccensis,Moluccan naked-backed fruit bat,12.3
helvum,Straw-colored fruit bat,21.8
gambianus,Gambian epauletted fruit bat,7.8
wahlbergi,Wahlberg's epauletted fruit bat,10.1
fischeri,Philippine pygmy fruit bat,10
monstrosus,Hammer-headed fruit bat,unknown
alecto,Black flying fox,20.3
conspicillatus,Spectacled flying fox,unknown
dasymallus,Ryukyu flying fox,24
giganteus,Indian flying fox,44
hypomelanus,Variable flying fox,20.3
livingstonii,Comoro black flying fox,15
lylei,Lyle's flying fox,20.4
niger,Greater mascarene flying fox,19.4
poliocephalus,Gray-headed flying fox,23.6
pselaphon,Bonin flying fox,16.7
pumilus,Little golden-mantled flying fox,17.2
rodricensis,Rodriguez flying fox,28
scapulatus,Little red flying fox,15.8
vampyrus,Large flying fox,20.9
voeltzkowi,Pemba flying fox,unknown
aegyptiacus,Egyptian rousette,22.9
lanosus,Long-haired rousette,18.7
leschenaultii,Leschenault's rousette,14
euryale,Mediterranean horseshoe bat,13
ferrumequinum,Greater horseshoe bat,30.5
hipposideros,Lesser horseshoe bat,29.4
megaphyllus,Smaller horseshoe bat,unknown
pallidus,Pallid bat,14.8
barbastellus,Western barbastelle,23
gouldii,Gould's wattled bat,7.8
morio,Chocolate wattled bat,9.6
rafinesquii,Rafinesque's big-eared bat,unknown
townsendii,Townsend's big-eared bat,20.5
fuscus,Big brown bat,19
nilssonii,Northern bat,20
serotinus,Serotine,21
tasmaniensis,Eastern false pipistrelle,6
noctivagans,Silver-haired bat,12
cinereus,Hoary bat,14
adversus,Large-footed myotis,8
bechsteinii,Bechstein's bat,21
blythii,Lesser mouse-eared bat,33
brandtii,Brandt's bat,41
dasycneme,Pond bat,20.5
daubentonii,Daubenton's bat,28
emarginatus,Geoffroy's bat,22.7
evotis,Western long-eared myotis,22
grisescens,Gray myotis,16.5
keenii,Keen's myotis,19
leibii,Eastern small-footed myotis,12
lucifugus,Little brown bat,34
macropus,Gould's large-footed myotis,unknown
myotis,Mouse-eared bat,37.1
mystacinus,Whiskered bat,24
nattereri,Natterer's bat,23.7
nigricans,Black myotis,7
sodalis,Indiana bat,20
thysanodes,Fringed myotis,18.3
velifer,Cave myotis,11.3
vivesi,Fish-eating bat,10
volans,Long-legged myotis,21
yumanensis,Yuma myotis,14
leisleri,Lesser noctule,16
noctula,Noctule,12
humeralis,Evening bat,6
geoffroyi,Lesser long-eared bat,7.3
gouldi,Gould's long-eared bat,4
timoriensis,Greater long-eared bat,unknown
subflavus,Eastern pipistrelle,14.8
kuhlii,Kuhl's pipistrelle,8
nathusii,Nathusius's pipistrelle,11
pipistrellus,Common pipistrelle,16.6
auritus,Brown big-eared bat,30
austriacus,Gray big-eared bat,25.5
balstoni,Western broad-nosed bat,9.7
orion,Orion broad-nosed bat,11.1
darlingtoni,Large forest bat,8
pumilus,Eastern forest bat,5
regulus,Southern forest bat,8
vulturnus,Little forest bat,9.1
murinus,Particolored bat,14.5
centralis,Northern naked-tailed armadillo,unknown
unicinctus,Southern naked-tailed armadillo,unknown
nationi,Andean hairy armadillo,unknown
vellerosus,Screaming hairy armadillo,16.2
villosus,Large hairy armadillo,25.2
truncatus,Pink fairy armadillo,unknown
novemcinctus,Nine-banded armadillo,22.3
septemcinctus,Seven-banded armadillo,16.8
sexcinctus,Six-banded armadillo,22.1
maximus,Giant armadillo,15
